"","ID","Model.1.R.2","Model.2.R.2","Model.3.R.2","Model.4.R.2","Model.5.R.2","Model.6.R.2","Model.7.R.2","Model.8.R.2","Model.1.BIC","Model.2.BIC","Model.3.BIC","Model.4.BIC","Model.5.BIC","Model.6.BIC","Model.7.BIC","Model.8.BIC","Pop_Size_units","Temp_C","Medium","Species","Repeat","Citation","N05","Nmax5","Rmax5","Tlag5","N06","Nmax6","Rmax6","Tlag6","N07","Nmax7","Rmax7","Tlag7","N08","Nmax8","Rmax8","Tlag8","Model5score","Model6score","Model7score","Model8score","Model5total","Model6total","Model7total","Model8total"
"13",4177,0.95,0.954,0.981,0.983,0.364,0.99,0.985,0.977,29.32,30.82,24.81,26,54.37,19.58,22.84,26.78,"N",4,"MRS broth","Lactobacillus sakei",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.04035053368397,14.8723938192914,0.0459718579545531,1.68990298489595,5.99030624096521,15.7513796223755,0.134049758171088,70.9288299155609,6.15133865120633,14.9464416800695,0.1230807868719,70.6709894460874,6.17825054710243,15.6160135102559,0.100289816629203,60.0385946972996,0,5,3,1,0,45.25,35.47,27.59
"15",4462,0.876,0.937,0.955,0.984,0.94,0.983,0.979,0.979,43.2,39.93,39.32,32.84,39.48,31.37,33.23,33.25,"CFU",12,"APT Broth","Pseudomonas sp.",1,"Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",0.0939963012352192,18.6063389881039,0.20882976790053,0.207247097448383,0.845287280943729,18.9641547030194,1.19284670465596,12.3811849512883,1.02291333486091,18.7568089747445,0.913230548765386,10.0568993880038,1.0234172890988,18.7700589430398,0.910717399227539,10.0246425802368,1,5,5,5,0,11.85,6.27,6.23
"16",4496,0.993,0.998,0.999,0.999,0.0918,0.988,0.999,0.995,1.557,-6.19,-11.41,-10.42,37.1,8.757,-9.276,2.69,"N",30,"C02 Beef Striploins","Spoilage",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.84964967757805,11.8510057595432,8.86767965688038,2.6405353344467,6.5444459818095,13.0657338498963,12.4435560475203,0.221460290376101,6.53988900982479,13.0657338498963,11.2412356320279,0.182305210843293,6.72181159061015,12.4435560475203,12.4435560475203,0.290628059815732,0,0,5,0,0,28.343,76.375,40.477
"17",4727,0.856,0.994,0.995,0.998,0.759,0.997,0.998,0.995,104.6,47.2,48.33,31.36,117.4,35.64,31.45,47.86,"N",8,"MRS broth","Lactobacillus sakei",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.0904956185588,26.2719976117071,0.0719133972361965,1.27468222918242,4.91701142522711,27.9186557202183,0.325483607818046,8.71264347929985,5.33493358119312,27.0767430110406,0.260438508690283,0,7.55159114467979,27.0465685797658,0.272325568571013,23.642943305187,0,3,5,0,0,93.98,106.55,69.54
"18",4764,0.944,0.995,0.997,0.998,0.993,0.997,0.996,0.993,-99.87,-167.7,-181.3,-183.3,-157.4,-178.2,-170.6,-154.8,"OD_595",5,"TSB","Clavibacter.michiganensis",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0493208127527796,0.488371121402704,0.00970903118890273,0.00393337289500756,0,0.514766612547608,0.00269552916067202,7.28217726384114,0.0345161923966528,0.498304680336506,0.00865749118920715,166.734279918864,0.0226573843238946,0.471587310463873,0.00223622071726702,0,0,5,1,0,2.59999999999999,51.8,29,0
"19",5637,0.92,0.942,0.985,0.992,0.988,0.994,0.993,0.993,33.57,32.71,21.19,17,16.79,12.47,13.49,14.18,"CFU",10,"Raw Chicken Breast","Aerobic Mesophilic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0883283057904739,9.55775766271655,0.0585124611502917,0.0446344965789206,0.952448493349584,9.72133586777626,0.335557758966418,53.295889266745,0.990374897627442,9.44567906147249,0.275634761892683,49.4640871401496,1.01155476150769,9.48474781258024,0.268893602045416,49.0170173237161,3,5,5,5,0,7.05,3.99,2.61
"20",5970,0.939,0.948,0.987,0.989,0.266,0.996,0.997,0.996,8.294,9.14,0.2222,0.6616,30.26,-8.951,-10.74,-9.695,"N",12,"C02 Beef Striploins","Salmonella Typhimurium",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.23218938358281,7.86076760888209,0.915435490797834,1.17071262236421,5.7494300777988,8.20280303296062,2.68862769689601,3.95681462370426,5.71356180954495,8.18808690033834,2.02094050221739,3.573405294275,5.72599385523504,8.16552309207266,1.32812818797979,2.86402165068887,0,5,5,5,0,39.211,43.834,40.699
"21",6191,0.957,0.986,0.991,0.995,0.984,0.985,0.993,0.995,13.31,8.266,7.869,5.986,9.24,10.5,5.986,4.512,"CFU",20,"Salted Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0831302189325324,8.2976310221849,0.148753759932425,0.0670003080381244,1.35047152968096,8.48617968133209,0.694917873858722,21.6265000616644,0,8.15743919521557,0.568582068224301,14.4401300154691,0.00779566016907583,8.08207588698295,0.55680714503954,14.1837963606062,3,3,5,5,1.26,0,7.768,12.19
"22",6957,0.986,0.993,0.995,0.995,0.0197,0.985,0.995,0.995,8.522,5.327,4.809,6.698,40.3,13.02,4.895,5.028,"N",12,"Vacuum Beef Striploins","Escherichia coli",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.67411042042755,12.2754783980469,2.57785046358986,3.1667195409059,6.02882760124288,13.5337149338468,4.54358668422211,0.978973835580816,5.94291924073983,13.5337149338468,3.72778174215791,0.629219212475565,5.93543294772075,12.8892523179493,3.67845622587419,0.582279224380108,0,1,5,5,0,27.28,43.663,43.264
"23",6989,0.579,0.775,0.796,0.815,0.558,0.908,0.897,0.89,45.09,40.59,41.93,43.26,48.02,33.19,34.45,35.16,"N",8,"ESAW","Tetraselmis tetrahele",5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.66605561721775,13.8470826150417,0.014258464060151,1.9233284640923,8.87598758283697,14.0871484617269,0.0960413684406466,110.57837870779,8.89787460662795,14.0117414748282,0.085696095575384,106.900938638027,9.22069844872175,14.1685946075785,0.048544599686243,79.8810431718827,0,5,5,5,0,18.06,14.28,12.86
"24",7390,0.858,0.994,0.995,0.999,0.86,0.851,0.893,0.904,27.33,7.051,8.253,-1.207,29.17,31.54,29.23,28.48,"N",30,"C02 Beef Striploins","Escherichia coli",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.34405827962788,12.4291290443876,9.26695253479144,1.48498924628133,6.64559982558479,13.6540267695916,13.0038350186586,0,6.46413869761155,12.9958959813096,13.0038350186586,0,6.79751555639865,12.9378123143606,13.0038350186586,0.000677243704820509,5,3,5,5,2.43,0,2.31,4.5
"25",7859,0.864,0.896,0.916,0.956,0.248,0.953,0.942,0.945,28.5,28.02,28.04,23.22,49.74,21.68,23.91,23.35,"N",5,"ESAW","Tetraselmis tetrahele",3,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.57074739456293,13.7147819913752,0.014173866157354,2.06859183553255,10.1996281889167,14.1775607742321,0.0316909389653684,186.687307077882,10.2081406554743,14.1138223011039,0.0296990589668659,187.161671161265,10.2382347672566,14.108249876601,0.026903398891271,172.825761596472,0,5,3,5,0,31.96,25.83,26.95
"26",8138,0.756,0.798,0.832,0.934,0.198,0.919,0.912,0.915,42.01,42.3,42.68,34.85,57.48,34.66,35.58,35.16,"N",5,"ESAW","Tetraselmis tetrahele",1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",7.36515772954052,13.586625393135,0.0140427905512705,2.84942855948175,8.74728800402564,14.0195867838891,0.0613823244960853,197.062111078293,8.78837510094274,14.0282272990741,0.0470833469712706,185.502287397349,9.02659103581679,14.0508690798353,0.0332896286180045,156.445826579337,0,5,5,5,0,24.24,21.9,22.74
"27",8271,0.59,0.874,0.986,0.999,0.989,0.99,0.973,0.968,33.33,25.99,10.46,-13.12,6.506,7.38,15.78,17,"CFU",30,"TGE agar","Arthrobacter simplex",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.75677788537707,8.25169233669613,0.0510133014318213,0.261823945298699,1.28843843323928,8.28698875025204,0.251524475947986,0,1.86670353322127,8.18396195493658,0.194161444020599,0,1.83434210945297,8.20400750734669,0.191376617942416,0.000999319253673729,5,5,1,0,20.642,18.02,1.22,0
"28",8437,0.915,0.957,0.988,0.992,0.98,0.986,0.992,0.991,37.42,31.84,19.3,17.2,22.48,20.73,14.76,15.74,"CFU",10,"Salted Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.23031767226011,8.96339501410915,0.04565658297248,0.091919482634328,0.90397411356802,9.88214300305534,0.188546809784379,36.5685045339082,1.04384406842548,8.96339501410915,0.176451071452603,35.8379935291265,0.997285090665267,8.96339501410915,0.170786656447542,33.1455120129911,1,3,5,5,0,1.75,14.67,11.73
"30",8837,0.377,0.801,0.945,0.951,0.84,0.849,0.841,0.848,3.664,-12.94,-31.81,-31.06,-16.66,-14.74,-13.9,-14.67,"OD_595",25,"TSB","Pantoea.agglomerans..RDA.R.",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0240085417457501,0.717857312820733,0.302239583691426,0.0293128604594112,0.0258986836782792,0.717857312820733,0.177500759417986,5.71348995795825,0,0.717857312820733,0.467326913632132,7.68208661417322,0.0235805157465979,0.717857312820733,0.136381279737045,4.80511748826002,5,5,3,5,6.67,0.91,0,0.77
"31",9257,0.848,0.992,0.995,0.995,-0.723,0.984,0.992,0,16.96,-4.844,-5.412,-3.612,38.49,2.955,-2.831,0,"N",12,"C02 Beef Striploins","Escherichia coli",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.88327608908052,8.29375349633065,0.965450578027256,1.94093238246925,5.47530412197762,9.14386322970454,2.14142770953936,5.24266226213427,5.44806748647419,9.14386322970454,1.91747437446281,5.05275244160516,0,0,0,0,0,3,5,3,0,35.535,49.938,41.445
"34",10252,0.454,0.687,0.775,0.871,0.901,0.899,0.847,0.718,31.78,27.57,26.13,21.95,13.76,16.56,21.46,28.81,"N",25,"ESAW","Tetraselmis tetrahele",5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.76982481034563,13.3956562046609,0.0206656987576694,0.447380129175947,9.84117337775098,13.3833561052362,0.0855369911830215,0,10.5495742281497,13.3874432011779,0.0432517385809083,0,11.1930191965246,13.5122770021264,0.0179990748440472,8.37405834442313,5,3,1,0,25.55,17.15,7.35,0
"35",10391,0.91,0.912,0.988,0.989,0.929,0.971,0.976,0.976,46.6,48.94,25.1,27.51,46.17,37.27,34.74,34.49,"CFU",7,"Raw Chicken Breast","Aerobic Psychotropic.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0706288966048546,10.75792428349,0.0357990618849059,0.085164084365149,0.886075782097312,11.8606115225477,0.133193361843775,71.0607587193591,1.06196695879155,10.75792428349,0.126209527677418,71.6442401896853,1.09235899333395,10.75792428349,0.118146321566544,67.3183301982038,0,3,5,5,0,8.9,13.96,14.71
"36",10471,0.752,0.969,0.973,0.983,0.971,0.969,0.984,0.983,405.9,226.5,217,180.6,218.2,230.9,172.6,175,"N",25,"MRS","Lactobaciulus plantarum",1,"Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",0.898248568572581,14.0274380402765,0.283487596313659,0.0973065354075895,0.0698807641667527,15.4652504394048,1.58159900981426,0,1.7222910774472,14.0274380402765,1.50308941684726,2.23424781051718,1.87452047105717,14.0274380402765,1.48717558256586,2.39087810704414,0,0,5,3,12.7,0,106.3,99.1
"38",10902,0.938,0.945,0.987,0.992,0.971,0.992,0.993,0.992,34.24,35.45,23.39,20.26,29.03,18.04,16.68,18.6,"CFU",2,"Cooked Chicken Breast","Pseudomonas spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.0721024197618853,10.7875722353767,0.0179938151513152,0.0623595837224958,1.19848633843019,11.561168607655,0.0850969491566199,168.038867346924,1.22916072532099,10.8743614506664,0.0724810632651173,151.614805843048,1.14402893522282,10.9264108011922,0.0679087545753842,139.276969478896,0,5,5,5,0,11.55,15.63,10.43
"39",10946,0.887,0.947,0.979,0.995,0.992,0.996,0.995,0.993,45.26,37.86,28.48,12.2,13.28,7.298,10.62,14.22,"CFU",10,"Salted Chicken Breast","Pseudomonas spp.",1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.296627247202904,8.85956268734541,0.0448728106226051,0.0678396339809213,1.01829688303087,8.86725328564054,0.257130497376702,43.9650081051902,1.01745281800795,8.65260100125619,0.207407259501367,38.4077738810712,1.119658525622,8.70615537196832,0.196903590643904,38.0004662227118,3,5,3,1,0.940000000000001,16.226,6.26,0
"40",10999,0.527,0.772,0.94,0.974,0.988,0.989,0.985,0.895,30.15,27,19.63,15.69,6.507,7.882,9.98,23.54,"CFU",37,"TGE agar","Arthrobacter globiformis",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.67043456864288,7.69360755285761,0.127477044276263,0.282649157374649,1.28738234128623,7.71545605253553,0.576655246028261,0,1.57760614763642,7.6619808083111,0.497158607363019,0,2.4330819179916,7.80750150727556,0.27182423546907,0.016609820760825,5,5,3,0,21.881,17.756,13.56,0
"42",11723,0.77,0.816,0.835,0.926,0.24,0.911,0.902,0.901,41.3,41.25,42.42,35.96,56.84,35.64,36.73,36.78,"N",5,"ESAW","Tetraselmis tetrahele",2,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",6.37303575867313,13.7560604382398,0.0142172202918163,2.62627890001556,8.9329277768272,13.9571246450785,0.0967976674317879,237.228404906816,8.92558781048532,14.0449670543289,0.0481633607672523,200.425647592554,8.97049517608952,14.0585097067317,0.0464156550713827,201.679816723864,0,5,5,5,0,23.43,20.16,20.06
"43",11888,0.778,0.967,0.973,0.996,0.987,0.964,1,1,37.54,22.46,23.03,9.027,14.12,25.42,-14.48,-13.28,"CFU",20,"TGE agar","Arthrobacter sp. 62",1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",0.985618989416293,9.49613299784779,0.0810093600904168,0.224777845984467,2.91156125932919,9.44542911377628,0.684454405854733,27.6422764227642,1.90810661483022,9.38877308452756,0.399981465873432,11.9699018510948,1.90521671051269,9.38808362534442,0.393938098992615,11.5366937995789,0,0,5,5,11.3,0,69.7,66.1
"44",11935,0.961,0.992,0.997,0.997,0.507,0.995,0.997,0.997,60.13,41.74,33.42,35.69,95.69,38.05,32.8,33,"N",30,"MRS broth","Lactobacillus plantarum",1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",8.39868734890679e-06,31.2784810946684,1.05027966614486,0.000235386642890717,5.71147839630023,34.484525406872,2.91010330933654,2.47807032023004,5.09966795713797,32.0299280250201,2.38122734615717,0,6.0927100493728,31.996332302382,2.38380338652652,0.96835518065894,0,3,5,5,0,57.64,68.34,67.74
"46",12149,0.992,0.993,0.996,0.998,0.162,0.992,0.998,0.998,4.701,5.452,3.509,-1.022,39.03,8.189,-0.1419,-2.009,"N",15,"C02 Beef Striploins","Escherichia coli",1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",2.40795752768535,11.4932828146149,2.07954511808792,2.881306566907,5.13618750097561,12.6713443031129,3.82961865374963,0.856345730436836,5.18356731156492,12.439596109319,3.13068879895215,0.565698605531695,5.21981168991611,12.0679469553456,3.09655429118326,0.561938551661888,0,0,5,5,0,30.841,47.5028,53.1041
