ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
03371,0.852,0.97,0.97,0.972,0.632,0.967,0.966,0.962,24.32,12.16,14.22,16.04,34.7,15.21,15.47,16.51,N,5,ESAW,Tetraselmis tetrahele,5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.82526016353304,13.622110061628327,0.014366256049871814,1.2503387910972679,8.728672280182025,14.250596723144149,0.024269525484166818,0,9.283230991068958,14.065933716603908,0.01829853057243587,0,9.423054975972642,14.039824139449015,0.01704726557733083,0
04176,0.927,0.985,0.987,0.994,0.969,0.994,0.99,0.989,49.06,22.12,21.77,8.903,35.96,6.962,16.64,18.88,CFU,0,TGE agar,Arthrobacter sp. 77,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.0170861334692265,8.43842923072309,0.014689719932471297,0.21326967603937527,1.3792418814716136,8.988328466806218,0.05296300386211712,25.956061838893397,1.6889808683043344,8.575083389049455,0.04547464020995999,25.956061838893397,1.799933635583729,8.583834522272669,0.04361965473883475,25.956061838893397
04177,0.95,0.954,0.981,0.983,0.364,0.99,0.985,0.977,29.32,30.82,24.81,26,54.37,19.58,22.84,26.78,N,4,MRS broth,Lactobacillus sakei,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.0403505336839736,14.872393819291352,0.045971857954553115,1.689902984895945,5.990306240965207,15.75137962237546,0.13404975817108847,70.9288299155609,6.151338651206334,14.94644168006947,0.12308078687190045,70.67098944608738,6.178250547102434,15.61601351025592,0.100289816629203,60.03859469729961
04392,0.55,0.788,0.821,0.822,0.516,0.549,0.532,0.163,-2.071,-10.67,-10.48,-7.912,1.724,3.38,3.905,12.64,OD_595,25,TSB,Pantoea.agglomerans,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.14893483953515035,0.9371190932586155,0.013728142951556844,0.08271521557412197,0.04370461195458656,0.8499946424114426,0.009011083948782988,0,0.12845882188399244,0.8499946424114426,0.01637703956992019,68.7510470765622,0.007653569015766207,0.9371190932586155,0.017624339043186048,2.8583872771778784
04462,0.876,0.937,0.955,0.984,0.94,0.983,0.979,0.979,43.2,39.93,39.32,32.84,39.48,31.37,33.23,33.25,CFU,12,APT Broth,Pseudomonas sp.,1,"Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",0.09399630123521918,18.606338988103904,0.20882976790053007,0.20724709744838316,0.8452872809437293,18.96415470301945,1.1928467046559637,12.381184951288343,1.0229133348609059,18.756808974744533,0.913230548765386,10.05689938800383,1.0234172890987978,18.770058943039775,0.9107173992275387,10.024642580236845
04496,0.993,0.998,0.999,0.999,0.0918,0.988,0.999,0.995,1.557,-6.19,-11.41,-10.42,37.1,8.757,-9.276,2.69,N,30,C02 Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.849649677578053,11.85100575954316,8.867679656880378,2.640535334446698,6.544445981809502,13.065733849896334,12.443556047520318,0.22146029037610115,6.539889009824788,13.065733849896334,11.241235632027868,0.18230521084329326,6.721811590610149,12.443556047520318,12.443556047520318,0.2906280598157322
04727,0.856,0.994,0.995,0.998,0.759,0.997,0.998,0.995,104.6,47.2,48.33,31.36,117.4,35.64,31.45,47.86,N,8,MRS broth,Lactobacillus sakei,1,"Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61.",1.0904956185587997,26.271997611707096,0.07191339723619646,1.2746822291824238,4.917011425227106,27.918655720218343,0.32548360781804564,8.712643479299853,5.334933581193117,27.076743011040566,0.26043850869028273,0,7.551591144679793,27.04656857976578,0.272325568571013,23.642943305187
04764,0.944,0.995,0.997,0.998,0.993,0.997,0.996,0.993,-99.87,-167.7,-181.3,-183.3,-157.4,-178.2,-170.6,-154.8,OD_595,5,TSB,Clavibacter.michiganensis,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.049320812752779636,0.4883711214027039,0.009709031188902727,0.003933372895007557,0,0.5147666125476082,0.0026955291606720186,7.282177263841137,0.03451619239665284,0.49830468033650593,0.00865749118920715,166.73427991886433,0.022657384323894615,0.471587310463873,0.0022362207172670246,0
05637,0.92,0.942,0.985,0.992,0.988,0.994,0.993,0.993,33.57,32.71,21.19,17,16.79,12.47,13.49,14.18,CFU,10,Raw Chicken Breast,Aerobic Mesophilic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08832830579047388,9.557757662716552,0.05851246115029168,0.04463449657892064,0.9524484933495845,9.721335867776263,0.33555775896641843,53.29588926674499,0.9903748976274417,9.445679061472488,0.27563476189268254,49.46408714014956,1.011554761507688,9.484747812580242,0.2688936020454159,49.017017323716075
05970,0.939,0.948,0.987,0.989,0.266,0.996,0.997,0.996,8.294,9.14,0.2222,0.6616,30.26,-8.951,-10.74,-9.695,N,12,C02 Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.232189383582809,7.860767608882094,0.9154354907978336,1.170712622364209,5.749430077798802,8.202803032960622,2.688627696896014,3.956814623704264,5.713561809544951,8.188086900338341,2.0209405022173903,3.573405294275005,5.725993855235041,8.165523092072663,1.328128187979787,2.864021650688873
06191,0.957,0.986,0.991,0.995,0.984,0.985,0.993,0.995,13.31,8.266,7.869,5.986,9.24,10.5,5.986,4.512,CFU,20,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.08313021893253238,8.297631022184898,0.1487537599324248,0.06700030803812437,1.3504715296809564,8.486179681332093,0.6949178738587222,21.62650006166438,0,8.15743919521557,0.5685820682243015,14.440130015469087,0.0077956601690758265,8.082075886982945,0.5568071450395395,14.183796360606172
06957,0.986,0.993,0.995,0.995,0.0197,0.985,0.995,0.995,8.522,5.327,4.809,6.698,40.3,13.02,4.895,5.028,N,12,Vacuum Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",1.6741104204275452,12.275478398046943,2.5778504635898583,3.1667195409058957,6.028827601242884,13.533714933846756,4.543586684222115,0.978973835580816,5.942919240739827,13.533714933846756,3.727781742157915,0.6292192124755651,5.935432947720749,12.88925231794929,3.6784562258741853,0.5822792243801078
06989,0.579,0.775,0.796,0.815,0.558,0.908,0.897,0.89,45.09,40.59,41.93,43.26,48.02,33.19,34.45,35.16,N,8,ESAW,Tetraselmis tetrahele,5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.666055617217745,13.84708261504166,0.01425846406015095,1.9233284640923045,8.875987582836974,14.08714846172694,0.09604136844064662,110.57837870779002,8.897874606627955,14.011741474828199,0.08569609557538402,106.90093863802662,9.22069844872175,14.16859460757845,0.048544599686243015,79.88104317188272
07390,0.858,0.994,0.995,0.999,0.86,0.851,0.893,0.904,27.33,7.051,8.253,-1.207,29.17,31.54,29.23,28.48,N,30,C02 Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.344058279627885,12.42912904438759,9.266952534791436,1.4849892462813346,6.645599825584794,13.654026769591551,13.00383501865862,0,6.464138697611546,12.995895981309609,13.00383501865862,0,6.797515556398655,12.937812314360555,13.00383501865862,6.772437048205091e-4
07859,0.864,0.896,0.916,0.956,0.248,0.953,0.942,0.945,28.5,28.02,28.04,23.22,49.74,21.68,23.91,23.35,N,5,ESAW,Tetraselmis tetrahele,3,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.570747394562932,13.714781991375194,0.014173866157354,2.0685918355325463,10.199628188916662,14.17756077423205,0.031690938965368384,186.68730707788174,10.208140655474297,14.113822301103937,0.029699058966865925,187.1616711612646,10.238234767256621,14.108249876600999,0.02690339889127101,172.8257615964721
08138,0.756,0.798,0.832,0.934,0.198,0.919,0.912,0.915,42.01,42.3,42.68,34.85,57.48,34.66,35.58,35.16,N,5,ESAW,Tetraselmis tetrahele,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",7.365157729540517,13.586625393135026,0.01404279055127055,2.8494285594817454,8.747288004025645,14.019586783889078,0.06138232449608531,197.06211107829327,8.788375100942742,14.02822729907412,0.047083346971270576,185.50228739734888,9.026591035816791,14.050869079835278,0.03328962861800452,156.44582657933736
08271,0.59,0.874,0.986,0.999,0.989,0.99,0.973,0.968,33.33,25.99,10.46,-13.12,6.506,7.38,15.78,17,CFU,30,TGE agar,Arthrobacter simplex,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.7567778853770717,8.251692336696127,0.05101330143182128,0.26182394529869907,1.2884384332392766,8.286988750252045,0.25152447594798577,0,1.8667035332212671,8.183961954936578,0.19416144402059854,0,1.8343421094529666,8.204007507346688,0.19137661794241614,9.993192536737288e-4
08437,0.915,0.957,0.988,0.992,0.98,0.986,0.992,0.991,37.42,31.84,19.3,17.2,22.48,20.73,14.76,15.74,CFU,10,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.2303176722601102,8.96339501410915,0.04565658297248003,0.09191948263432799,0.9039741135680204,9.882143003055337,0.1885468097843786,36.568504533908246,1.043844068425476,8.96339501410915,0.1764510714526033,35.83799352912652,0.9972850906652674,8.96339501410915,0.17078665644754182,33.14551201299113
08549,0.178,0.178,0.178,0.367,-0.00348,-0.0861,-0.00769,-4.05,-229.7,-226.4,-223.1,-227.1,-220.8,-215.3,-217.4,-172.2,OD_595,5,TSB,Dickeya.zeae..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.006289549752234869,0.014155551443894557,2.2075593786519216e-5,0.002043567468284016,0.006177250719788254,0.014155551443894557,2.2075593786519216e-5,527.9461694405591,0.006350544223652333,0.01560649546689375,2.2075593786519216e-5,527.9461694405591,0.0025686351426860497,0.014155551443894557,4.911932015528935e-4,0
08837,0.377,0.801,0.945,0.951,0.84,0.849,0.841,0.848,3.664,-12.94,-31.81,-31.06,-16.66,-14.74,-13.9,-14.67,OD_595,25,TSB,Pantoea.agglomerans..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02400854174575007,0.7178573128207328,0.3022395836914256,0.029312860459411193,0.025898683678279154,0.7178573128207328,0.17750075941798615,5.713489957958246,0,0.7178573128207328,0.4673269136321323,7.682086614173223,0.023580515746597874,0.7178573128207328,0.1363812797370449,4.805117488260022
09257,0.848,0.992,0.995,0.995,-0.723,0.984,0.992,NA,16.96,-4.844,-5.412,-3.612,38.49,2.955,-2.831,NA,N,12,C02 Beef Striploins,Escherichia coli,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.883276089080522,8.293753496330654,0.9654505780272558,1.9409323824692528,5.475304121977619,9.143863229704545,2.141427709539361,5.2426622621342744,5.44806748647419,9.143863229704545,1.9174743744628149,5.052752441605157,0,0,0,0
10011,0.259,0.327,0.348,0.426,0.188,-3.69,0.284,-75.8,-137.5,-136.4,-134.1,-133.5,-133,-98.55,-132.4,-48.22,CFU,0,TGE agar,Arthrobacter simplex,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.9010826050533265,1.9090965321815005,0.003199779584324393,0.0031972940152924225,1.9149431438516342,1.8237553750967945,0.003199779584324393,4.242486968433067,1.9024634069418427,1.9122267135799764,0.008775558204510035,426.57263010338204,1.8916865065997772,2.010690301044216,0.003199779584324393,426.57263010338204
10249,0.394,0.465,0.509,0.628,-0.0775,0.592,0.57,0.582,41.51,42.54,43.99,43.35,50.24,41.96,42.54,42.22,N,32,ESAW,Tetraselmis tetrahele,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.079553065236524,11.714545367705336,0.014472109796805037,2.2913131869699805,8.622895821674955,11.714545367705336,0.043312140321461134,128.37331629429508,8.662700625128462,11.714545367705336,0.03934004039549924,137.54295460427082,9.02425063249235,11.714545367705336,0.018747478505797614,103.81616827334696
10252,0.454,0.687,0.775,0.871,0.901,0.899,0.847,0.718,31.78,27.57,26.13,21.95,13.76,16.56,21.46,28.81,N,25,ESAW,Tetraselmis tetrahele,5,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.769824810345634,13.395656204660934,0.020665698757669427,0.447380129175947,9.841173377750984,13.383356105236215,0.08553699118302145,0,10.549574228149686,13.38744320117788,0.04325173858090832,0,11.193019196524556,13.512277002126389,0.017999074844047218,8.374058344423133
10391,0.91,0.912,0.988,0.989,0.929,0.971,0.976,0.976,46.6,48.94,25.1,27.51,46.17,37.27,34.74,34.49,CFU,7,Raw Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.07062889660485457,10.757924283489986,0.03579906188490594,0.08516408436514902,0.8860757820973124,11.86061152254771,0.13319336184377528,71.06075871935914,1.0619669587915461,10.757924283489986,0.126209527677418,71.64424018968533,1.09235899333395,10.757924283489986,0.11814632156654384,67.31833019820381
10471,0.752,0.969,0.973,0.983,0.971,0.969,0.984,0.983,405.9,226.5,217,180.6,218.2,230.9,172.6,175,N,25,MRS,Lactobaciulus plantarum,1,"Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",0.8982485685725811,14.027438040276476,0.2834875963136591,0.09730653540758953,0.06988076416675268,15.465250439404814,1.5815990098142607,0,1.7222910774472018,14.027438040276476,1.503089416847262,2.234247810517183,1.8745204710571726,14.027438040276476,1.4871755825658617,2.390878107044139
10739,0.0899,0.897,0.982,0.988,0.306,0.307,0.299,0.316,-1.173,-50.27,-88.78,-96.19,-4.505,-1.349,-1.098,-1.664,OD_595,15,TSB,Clavibacter.michiganensis..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.060887616627370036,0.6049239076917529,0.032643693775843294,0.06300477009599063,0.00452916964702983,0.6049239076917529,0.012722460913431113,3.6951501154733237,3.042703420566557e-4,0.6049239076917529,0.020594790683859533,0.9569960958371981,0.022900401758005267,0.6049239076917529,0.010108171144884338,1.9604997802897643
10902,0.938,0.945,0.987,0.992,0.971,0.992,0.993,0.992,34.24,35.45,23.39,20.26,29.03,18.04,16.68,18.6,CFU,2,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.07210241976188535,10.787572235376697,0.017993815151315175,0.06235958372249578,1.1984863384301903,11.561168607655002,0.08509694915661992,168.0388673469245,1.2291607253209942,10.874361450666443,0.0724810632651173,151.6148058430481,1.1440289352228223,10.926410801192183,0.0679087545753842,139.27696947889646
10946,0.887,0.947,0.979,0.995,0.992,0.996,0.995,0.993,45.26,37.86,28.48,12.2,13.28,7.298,10.62,14.22,CFU,10,Salted Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.2966272472029039,8.859562687345413,0.04487281062260515,0.0678396339809213,1.018296883030868,8.867253285640535,0.25713049737670157,43.96500810519016,1.0174528180079483,8.652601001256185,0.2074072595013672,38.407773881071215,1.119658525621997,8.706155371968324,0.19690359064390445,38.000466222711786
10999,0.527,0.772,0.94,0.974,0.988,0.989,0.985,0.895,30.15,27,19.63,15.69,6.507,7.882,9.98,23.54,CFU,37,TGE agar,Arthrobacter globiformis,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.670434568642877,7.693607552857614,0.12747704427626252,0.2826491573746485,1.2873823412862322,7.715456052535535,0.5766552460282606,0,1.577606147636416,7.661980808311105,0.4971586073630195,0,2.4330819179915975,7.807501507275563,0.2718242354690703,0.016609820760824998
11523,0.131,0.925,0.978,0.993,0.466,0.464,0.452,0.471,-50.9,-101.7,-125.9,-146.3,-58.54,-55.35,-54.85,-55.65,OD_595,15,TSB,Bacillus.pumilus,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.015765932663825113,0.21963136013468304,0.034292249349700564,0.018147935278849836,0.006614172138632196,0.21963136013468304,0.004399951309973342,12.993095278370157,0,0.21963136013468304,0.024196191681947195,42.098784355261,0.008481981994110129,0.21963136013468304,0.003160746004073358,0.9071837598059875
